canonical_variable,availability_status,variable_role,draft_variable,tax_year,row_count,populated_count,fill_rate,notes
analysis_program_service_revenue_amount,unavailable,unavailable,Program service revenue,2023,218,0,0.0,IRS EO BMF does not carry this 990-style revenue-source field.
analysis_program_service_revenue_amount,unavailable,unavailable,Program service revenue,2024,3221,0,0.0,IRS EO BMF does not carry this 990-style revenue-source field.
analysis_subsection_code,available,direct,Subsection code,2022,77,77,1.0,Source-direct IRS EO BMF subsection retained without overwrite.
analysis_subsection_code,available,direct,Subsection code,2023,218,218,1.0,Source-direct IRS EO BMF subsection retained without overwrite.
analysis_subsection_code,available,direct,Subsection code,2024,3221,3221,1.0,Source-direct IRS EO BMF subsection retained without overwrite.
analysis_subsection_code_fallback_enriched,available,enriched,Subsection code,2022,77,77,1.0,Analyst-facing resolved subsection code with explicit IRS-first precedence.
analysis_subsection_code_fallback_enriched,available,enriched,Subsection code,2023,218,218,1.0,Analyst-facing resolved subsection code with explicit IRS-first precedence.
analysis_subsection_code_fallback_enriched,available,enriched,Subsection code,2024,3221,3221,1.0,Analyst-facing resolved subsection code with explicit IRS-first precedence.
analysis_total_assets_amount,available,direct,Total assets,2022,77,77,1.0,Source-direct IRS EO BMF amount retained as nullable numeric.
analysis_total_assets_amount,available,direct,Total assets,2023,218,213,0.9770642201834863,Source-direct IRS EO BMF amount retained as nullable numeric.
analysis_total_assets_amount,available,direct,Total assets,2024,3221,3209,0.996274448928904,Source-direct IRS EO BMF amount retained as nullable numeric.
analysis_total_expense_amount,unavailable,unavailable,Total expense,2022,77,0,0.0,IRS EO BMF does not provide a direct expense field.
analysis_total_expense_amount,unavailable,unavailable,Total expense,2023,218,0,0.0,IRS EO BMF does not provide a direct expense field.
analysis_total_expense_amount,unavailable,unavailable,Total expense,2024,3221,0,0.0,IRS EO BMF does not provide a direct expense field.
analysis_total_income_amount,available,direct,Total income,2022,77,77,1.0,Source-direct IRS EO BMF amount retained as nullable numeric.
analysis_total_income_amount,available,direct,Total income,2023,218,213,0.9770642201834863,Source-direct IRS EO BMF amount retained as nullable numeric.
analysis_total_income_amount,available,direct,Total income,2024,3221,3209,0.996274448928904,Source-direct IRS EO BMF amount retained as nullable numeric.
analysis_total_revenue_amount,available,direct,Total revenue,2022,77,71,0.922077922077922,Source-direct IRS EO BMF amount retained as nullable numeric.
analysis_total_revenue_amount,available,direct,Total revenue,2023,218,203,0.9311926605504587,Source-direct IRS EO BMF amount retained as nullable numeric.
analysis_total_revenue_amount,available,direct,Total revenue,2024,3221,2936,0.9115181620614716,Source-direct IRS EO BMF amount retained as nullable numeric.
