tax_year,core_scope,canonical_variable,variable_role,row_count,populated_row_count,fill_rate,notes
2022,pz,analysis_calculated_total_contributions_amount,direct,192,192,1.0,Promoted draft-aligned total-contributions field from the best available Core contribution concept.
2022,pz,analysis_contribution_candidate_amount,direct,192,192,1.0,Source-faithful supporting field retained alongside the promoted draft-aligned variable.
2022,pz,analysis_gifts_grants_received_candidate_amount,direct,192,192,1.0,Kept distinct from contribution and grants-paid concepts.
2022,pz,analysis_grants_paid_candidate_amount,calculated,192,111,0.578125,Distinct grant-paid concept preserved for analysts.
2022,pz,analysis_ntee_code,enriched,192,192,1.0,Classification enrichment only; unresolved rows remain explicitly unknown rather than blank.
2022,pz,analysis_subsection_code,enriched,192,192,1.0,Supports political-organization classification.
2022,pz,analysis_calculated_ntee_broad_code,calculated,192,175,0.9114583333333334,Broad field code for field-composition analyses.
2022,pz,analysis_is_hospital,proxy,192,192,1.0,Source-backed hospital flag used before name-based imputation.
2022,pz,analysis_is_university,proxy,192,192,1.0,Source-backed university flag used before name-based imputation.
2022,pz,analysis_is_political_org,proxy,192,192,1.0,Source-backed political proxy used before name-based imputation.
2022,pz,analysis_imputed_is_hospital,imputed,192,192,1.0,Complete exclusion-ready hospital flag.
2022,pz,analysis_imputed_is_university,imputed,192,192,1.0,Complete exclusion-ready university flag.
2022,pz,analysis_imputed_is_political_org,imputed,192,192,1.0,Complete exclusion-ready political flag.
2022,pz,analysis_other_contributions_amount,unavailable,192,0,0.0,Unavailable by design.
2022,pz,analysis_calculated_grants_total_amount,unavailable,192,0,0.0,Use the distinct candidate fields instead.
2022,pz,analysis_foundation_grants_amount,unavailable,192,0,0.0,Unavailable by design.
2022,pz,analysis_government_grants_amount,unavailable,192,0,0.0,Unavailable by design.
